Название фьючерса,Тикер
мосбиржи,IM
мосбиржи (мини),MM
мосбиржи в юанях,MY
ртс,RI
ртс (мини),RM
волатильность российского рынка,VI
московской недвижимости домклик,HO
мосбиржи нефти и газа,OG
мосбиржи металлов и добычи,MA
мосбиржи финансов,FN
мосбиржи потребительского сектора,CS
rgbi,RB
мосбиржи (вечный фьючерс),IMOEXF
мосбиржи ipo,IP
китайский юань – российский рубль,CR
евро – российский рубль,Eu
доллар сша – российский рубль,Si
доллара сша - российский рубль (вечный фьючерс),USDRUBF
евро - российский рубль (вечный фьючерс),EURRUBF
китайский юань – российский рубль (вечный фьючерс),CNYRUBF
турецкая лира – российский рубль,TY
гонконгский доллар – российский рубль,HK
дирхам оаэ – российский рубль,AE
индийская рупия – российский рубль,I2
казахстанский тенге – российский рубль,KZ
армянский драм – российский рубль,AR
белорусский рубль – российский рубль,BY
евро – доллар сша,ED
австралийский доллар – доллар сша,AU
фунт стерлингов – доллар сша,GU
доллар сша - канадский доллар,CA
доллар сша – швейцарский франк,CF
доллар сша – японская йена,JP
доллар сша – турецкая лира,TR
доллар сша – китайский юань,UC
доллар сша – казахстанский тенге,UT
евро – канадский доллар,EC
евро – фунт стерлингов,EG
евро – японская йена,EJ
нефть,BRM
нефть сорта light sweet crude oil,CL
природный газ,NG
природный газ (микро),NGM
природный газ датч ттф,FF
золото,GL
золото (в рублях),GL
золото (вечный фьючерс),GLDRUBF
палладий,PD
платина,PT
серебро,SV
серебро (поставочный контракт),SL
медь,CE
алюминий,AN
никель,NC
цинк,ZC
пшеница,W4
сахар-сырец,SA
сахар,Su
какао,CC
кофе,KC
